,#uniqueValues,std,mean,skew,min,max,f50,f95,energy,E10,E1020,E2030,EcHPI,E260300,E300340,dist_nas,dist_lpa,dist_rpa,dist_mrk4,dist_mrk5
ch0,38400,288.1946308877932,-1.7458551134190194,-0.5003840239104038,-2989.8609108286028,2281.5595995134977,0.84,26.486666666666668,8.306e+04,2.211e+01,3.142e+00,1.484e+00,,,,56.74518829628672,142.70744390613118,181.8419718059692,46.55645326231786,80.2697743803612
ch1,38400,197.8383884587056,-1.5131921054509436,-0.2827136613845182,-1539.7671717185478,1021.5511879416806,6.113333333333333,30.31,3.914e+04,9.366e+00,1.970e+00,1.034e+00,,,,69.36242770879699,129.12487651301475,191.08353345486813,47.57731291694272,96.45556085238695
ch2,38400,233.4799372596516,-0.43343975840677995,0.23053229524654614,-1193.8734466760895,1686.9371974840585,1.71,27.09,5.451e+04,1.429e+01,2.164e+00,1.033e+00,,,,83.10325694101421,115.56140463949441,197.41579065742516,55.6635186206022,111.28845866515996
ch3,38400,435.1884410807379,1.3404718515468164,-0.052862481664539024,-2425.735780926419,1924.5352477684282,0.2,18.44333333333333,1.894e+05,5.709e+01,3.263e+00,1.783e+00,,,,52.41640767909496,159.01461948447684,177.06699521096874,54.29423896565452,69.65051338880576
ch4,38400,321.05249121879325,1.283430911207348,0.33462932391228556,-3032.1003791127782,4200.180031933538,0.6366666666666667,20.14666666666667,1.031e+05,3.054e+01,2.086e+00,1.082e+00,,,,70.34393669927339,136.1698412245795,193.94783481915715,49.70282491760154,96.87650716092608
ch5,38400,566.0299196267982,3.6810464056466876,-0.038406963629261444,-5491.639598688666,6481.264532550388,0.22,9.686666666666667,3.204e+05,1.016e+02,2.758e+00,1.526e+00,,,,68.1112274977265,151.98635693632102,190.81993290632255,56.93176065606595,90.08171043910126
ch6,38400,530.9842087652927,3.708701526070209,0.4261894237240942,-7065.555381647082,8001.209086988766,0.6566666666666666,13.653333333333334,2.819e+05,8.812e+01,3.448e+00,1.508e+00,,,,91.96397616800951,128.91437129671806,201.9901480249036,68.36552573362339,117.4171413887521
ch7,38400,495.3781594408038,3.1388270269549454,0.5978801603948453,-5864.335672034877,6612.968859859258,0.6366666666666667,16.26,2.454e+05,7.541e+01,3.911e+00,1.566e+00,,,,104.28096394790893,119.55427848264495,204.21947194502928,79.38790090861738,129.21223629812923
ch8,38400,456.4851097563341,2.082722386117255,0.6071477190777418,-3447.473094102754,4396.9082200432285,0.3566666666666667,17.87,2.084e+05,6.237e+01,4.551e+00,1.605e+00,,,,119.0419374763957,113.77543656931661,206.78650749218687,94.58193771632813,142.55698614040583
ch9,38400,762.291271384795,4.8719061866355515,-0.14710817479365526,-8778.677996455155,9464.345550177102,0.24666666666666667,6.65,5.811e+05,1.862e+02,4.240e+00,2.073e+00,,,,83.10877403132397,161.53974261972644,186.47907888313392,78.33388807205593,97.58031040820393
